,speaker,listener,dialogue,dialogue_sentiment,avg_sentiment
0,CHORUS,SAMPSON,"Two households, both alike in dignity, In fair Verona, where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean. From forth the fatal loins of these two foes A pair of star-cross’d lovers take their life; Whose misadventur’d piteous overthrows Doth with their death bury their parents’ strife. The fearful passage of their death-mark’d love, And the continuance of their parents’ rage, Which, but their children’s end, nought could remove, Is now the two hours’ traffic of our stage; The which, if you with patient ears attend, What here shall miss, our toil shall strive to mend.",-0.5719,-0.5719
1,SAMPSON,CHORUS,"Gregory, on my word, we’ll not carry coals.",0.0,0.0
2,SAMPSON,GREGORY,"Gregory, on my word, we’ll not carry coals.",0.0,-0.062037931034482754
3,GREGORY,SAMPSON,"No, for then we should be colliers.",0.0,-0.08799310344827586
4,GREGORY,SAMPSON,"No, for then we should be colliers.",0.0,-0.08799310344827586
5,SAMPSON,GREGORY,"I mean, if we be in choler, we’ll draw.",0.0,-0.062037931034482754
6,SAMPSON,GREGORY,"I mean, if we be in choler, we’ll draw.",0.0,-0.062037931034482754
7,GREGORY,SAMPSON,"Ay, while you live, draw your neck out o’ the collar.",0.0,-0.08799310344827586
8,GREGORY,SAMPSON,"Ay, while you live, draw your neck out o’ the collar.",0.0,-0.08799310344827586
9,SAMPSON,GREGORY,"I strike quickly, being moved.",-0.128,-0.062037931034482754
10,SAMPSON,GREGORY,"I strike quickly, being moved.",-0.128,-0.062037931034482754
11,GREGORY,SAMPSON,But thou art not quickly moved to strike.,-0.1901,-0.08799310344827586
12,GREGORY,SAMPSON,But thou art not quickly moved to strike.,-0.1901,-0.08799310344827586
13,SAMPSON,GREGORY,A dog of the house of Montague moves me.,0.0,-0.062037931034482754
14,SAMPSON,GREGORY,A dog of the house of Montague moves me.,0.0,-0.062037931034482754
15,GREGORY,SAMPSON,"To move is to stir; and to be valiant is to stand: therefore, if thou art moved, thou runn’st away.",0.0,-0.08799310344827586
16,GREGORY,SAMPSON,"To move is to stir; and to be valiant is to stand: therefore, if thou art moved, thou runn’st away.",0.0,-0.08799310344827586
17,SAMPSON,GREGORY,A dog of that house shall move me to stand. I will take the wall of any man or maid of Montague’s.,0.0,-0.062037931034482754
18,SAMPSON,GREGORY,A dog of that house shall move me to stand. I will take the wall of any man or maid of Montague’s.,0.0,-0.062037931034482754
19,GREGORY,SAMPSON,"That shows thee a weak slave, for the weakest goes to the wall.",-0.7351,-0.08799310344827586
20,GREGORY,SAMPSON,"That shows thee a weak slave, for the weakest goes to the wall.",-0.7351,-0.08799310344827586
21,SAMPSON,GREGORY,"True, and therefore women, being the weaker vessels, are ever thrust to the wall: therefore I will push Montague’s men from the wall, and thrust his maids to the wall.",-0.0258,-0.062037931034482754
22,SAMPSON,GREGORY,"True, and therefore women, being the weaker vessels, are ever thrust to the wall: therefore I will push Montague’s men from the wall, and thrust his maids to the wall.",-0.0258,-0.062037931034482754
23,GREGORY,SAMPSON,The quarrel is between our masters and us their men.,0.0,-0.08799310344827586
24,GREGORY,SAMPSON,The quarrel is between our masters and us their men.,0.0,-0.08799310344827586
25,SAMPSON,GREGORY,"’Tis all one, I will show myself a tyrant: when I have fought with the men I will be civil with the maids, I will cut off their heads.",-0.5267,-0.062037931034482754
26,SAMPSON,GREGORY,"’Tis all one, I will show myself a tyrant: when I have fought with the men I will be civil with the maids, I will cut off their heads.",-0.5267,-0.062037931034482754
27,GREGORY,SAMPSON,The heads of the maids?,0.0,-0.08799310344827586
28,GREGORY,SAMPSON,The heads of the maids?,0.0,-0.08799310344827586
29,SAMPSON,GREGORY,"Ay, the heads of the maids, or their maidenheads; take it in what sense thou wilt.",0.0,-0.062037931034482754
30,SAMPSON,GREGORY,"Ay, the heads of the maids, or their maidenheads; take it in what sense thou wilt.",0.0,-0.062037931034482754
31,GREGORY,SAMPSON,They must take it in sense that feel it.,0.0,-0.08799310344827586
32,GREGORY,SAMPSON,They must take it in sense that feel it.,0.0,-0.08799310344827586
33,SAMPSON,GREGORY,Me they shall feel while I am able to stand: and ’tis known I am a pretty piece of flesh.,0.4939,-0.062037931034482754
34,SAMPSON,GREGORY,Me they shall feel while I am able to stand: and ’tis known I am a pretty piece of flesh.,0.4939,-0.062037931034482754
35,GREGORY,SAMPSON,"’Tis well thou art not fish; if thou hadst, thou hadst been poor John. Draw thy tool; here comes of the house of Montagues.",-0.25,-0.08799310344827586
36,GREGORY,SAMPSON,"’Tis well thou art not fish; if thou hadst, thou hadst been poor John. Draw thy tool; here comes of the house of Montagues.",-0.25,-0.08799310344827586
37,SAMPSON,GREGORY,"My naked weapon is out: quarrel, I will back thee.",-0.296,-0.062037931034482754
38,SAMPSON,GREGORY,"My naked weapon is out: quarrel, I will back thee.",-0.296,-0.062037931034482754
39,GREGORY,SAMPSON,How? Turn thy back and run?,0.0,-0.08799310344827586
40,GREGORY,SAMPSON,How? Turn thy back and run?,0.0,-0.08799310344827586
41,SAMPSON,GREGORY,Fear me not.,-0.4939,-0.062037931034482754
42,SAMPSON,GREGORY,Fear me not.,-0.4939,-0.062037931034482754
43,GREGORY,SAMPSON,"No, marry; I fear thee!",-0.5411,-0.08799310344827586
44,GREGORY,SAMPSON,"No, marry; I fear thee!",-0.5411,-0.08799310344827586
45,SAMPSON,GREGORY,Let us take the law of our sides; let them begin.,0.0,-0.062037931034482754
46,SAMPSON,GREGORY,Let us take the law of our sides; let them begin.,0.0,-0.062037931034482754
47,GREGORY,SAMPSON,"I will frown as I pass by, and let them take it as they list.",0.0,-0.08799310344827586
48,GREGORY,SAMPSON,"I will frown as I pass by, and let them take it as they list.",0.0,-0.08799310344827586
49,SAMPSON,GREGORY,"Nay, as they dare. I will bite my thumb at them, which is disgrace to them if they bear it.",-0.4939,-0.062037931034482754
50,SAMPSON,ABRAM,"Nay, as they dare. I will bite my thumb at them, which is disgrace to them if they bear it.",-0.4939,0.18283333333333332
51,ABRAM,SAMPSON,"Do you bite your thumb at us, sir?",0.0,-0.07582222222222222
52,ABRAM,SAMPSON,"Do you bite your thumb at us, sir?",0.0,-0.07582222222222222
53,SAMPSON,ABRAM,"I do bite my thumb, sir.",0.0,0.18283333333333332
54,SAMPSON,ABRAM,"I do bite my thumb, sir.",0.0,0.18283333333333332
55,ABRAM,SAMPSON,"Do you bite your thumb at us, sir?",0.0,-0.07582222222222222
